row_idx	col_idx	log2ratio
1	1	0
2	1	173.561075670982
3	1	2885.77442784505
4	1	2913.16235938455
5	1	810.809671038445
6	1	1398.8118747008
7	1	3390.51534590279
8	1	3749.13197483307
9	1	3379.92345596487
10	1	3479.62043424725
11	1	2088.34719180009
12	1	2150.21263761267
13	1	3116.36900997281
14	1	3307.52386894485
15	1	3307.52386894485
16	1	3472.37594224012
17	1	3511.31552364799
18	1	3511.31552364799
19	1	3178.35020578523
20	1	3178.35020578523
21	1	3290.41899450419
22	1	3290.41899450419
23	1	434.683973446612
24	1	224.141090996312
25	1	324.625414962892
26	1	762.078137321613
27	1	935.569544205727
28	1	2031.07794392535
29	1	1850.40886908587
30	1	1978.27690822292
31	1	2232.71889415177
32	1	1997.15011012564
33	1	2641.54243439764
34	1	2641.54243439764
35	1	3369.01376506392
36	1	941.822552658046
1	2	173.561075670982
2	2	0
3	2	3021.77386984408
4	2	3049.08597395143
5	2	923.663196695154
6	2	1517.7100508583
7	2	3518.14441781164
8	2	3879.302551415
9	2	3509.83830738904
10	2	3608.49684827693
11	2	2228.83682714171
12	2	2288.76931406546
13	2	3243.6971542245
14	2	3434.73062658119
15	2	3434.73062658119
16	2	3598.04338115333
17	2	3636.04817429678
18	2	3636.04817429678
19	2	3306.3839952424
20	2	3306.3839952424
21	2	3419.66472133779
22	2	3419.66472133779
23	2	305.268147351587
24	2	348.631801531522
25	2	451.091281267502
26	2	632.179828581252
27	2	806.016152942498
28	2	2163.76020505898
29	2	1984.64406644176
30	2	2112.98844455214
31	2	2367.39616892997
32	2	2132.61424990801
33	2	2768.09513509027
34	2	2768.09513509027
35	2	3498.73302835162
36	2	801.184939312674
1	3	2885.77442784505
2	3	3021.77386984408
3	3	0
4	3	27.4484778325902
5	3	2111.28854633213
6	3	1526.29707779016
7	3	553.937948888446
8	3	878.955941444325
9	3	521.109388343844
10	3	626.3704166492
11	3	804.970480288146
12	3	737.509543589607
13	3	328.125083941488
14	3	484.43798166664
15	3	484.43798166664
16	3	651.514788619684
17	3	697.900089301824
18	3	697.900089301824
19	3	363.038720035364
20	3	363.038720035364
